ANIO,TIPO_UNIV,NIVEL_ACADEM,OF_ACADEM,DISCIP_OCDE,DISCIP_ESPECIF,TIPO_ALUMNO,U_MED,VALOR
2016,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,736
2016,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,48
2016,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,395
2016,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,99
2016,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,540
2016,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,111
2016,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,724
2016,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,132
2016,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.073
2016,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,24
2016,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,252
2016,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,145
2016,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,3.499
2017,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,112
2017,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.024
2017,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,133
2017,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,2.303
2017,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,3
2017,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,14
2017,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,25
2017,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,99
2017,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,12
2017,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,83
2017,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,95
2017,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,490
2017,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,1.419
2017,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,26.911
2017,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,862
2017,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,23.265
2017,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,70
2017,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,653
2017,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,44
2017,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,379
2017,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,63
2017,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,489
2017,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,145
2017,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,531
2017,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,100
2017,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.102
2017,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,24
2017,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,239
2017,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,206
2017,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,3.757
2018,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,143
2018,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.287
